Название ноутбука;Описание ноутбука;Цена ноутбука
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 16GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 16GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 16 GB DDR4; накопитель HDD 1000 GB +...";117470 сом
Ноутбук Acer Aspire 5 Slim AMD Ryzen 3 3200U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 3 Graphics FHD W10 серебристый;"Ноутбук Acer Aspire 5 Slim AMD Ryzen 3 3200U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 3 Graphics FHD W10 серебристыйТип: ноутбук; Операционная система: Windows 10; Процессор: AMD Ryzen 3-3200U; Разрешение экрана: 1920 x 1080 Full HD; Графический контроллер: AMD Radeon Vega 3 Graphics; Объем оперативной памяти: 8 GB DDR; Объем накопителя HDD: 1000 GB; Объем накопителя...";48630 сом
Ноутбук Asus TUF Dash F15 FX516PE Intel Core  i7-11370H 16GB DDR4 512GB SSD Nvidia RTX3050Ti 4GB FHD DOS серый;"Ноутбук Asus TUF Dash F15 FX516PE Intel Core  i7-11370H 16GB DDR4 512GB SSD Nvidia RTX3050Ti 4GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core  i7-11370H; Разрешение экрана: 1920 x 1080 Full HD; Графический контроллер: Nvidia RTX 3050TI; Объем оперативной памяти: 16 GB DDR4; Объем накопителя SSD: 512 GB; Вес: от 2 кг";114840 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 128GB SSD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 128GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 128 GB; Вес: от 1.85 кг";59980 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 24GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 24GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 24 GB DDR4; накопитель HDD 1000 GB +...";121850 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 32GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 32GB DDR4 1000GB + 256GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 32 GB DDR4; накопитель HDD 1000 GB +...";126220 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 128 GB; Вес: от 1.85 кг";63500 сом
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый;"Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 16 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.68 кг";93800 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 8GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 8GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 8 GB DDR4; накопитель HDD 1000 GB +...";113960 сом
Ноутбук Acer Swift 3 Intel Core i7-1165G7 8GB DDR 512GB SSD Intel Iris Xe Graphics FHD W10 серебристый;"Ноутбук Acer Swift 3 Intel Core i7-1165G7 8GB DDR 512GB SSD Intel Iris Xe Graphics FHD W10 серебристыйТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i7-1165G7; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.5 кг";79320 сом
